job_id,title,company,location,salary,description,posted_date,url,employment_type,remote,company_rating
18112111dbc1c2b3,Senior Full Stack Developer,Netsweeper,"Waterloo, ON","$100,000–$110,000 YEARLY","What is your skill level for backend (messaging and service communication) with Rabbit MQ? Mentor junior developer(s) in the design, development, and testing of…",1773378000000,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DGnj2cyFHnYv7SAP8vxYd0Z97jnB5SC9o-sjoBoCw9IRfFQEcwURaqbuzUHnKbn1473fLnm1dKdZdZ9931MOx6Um3nPGGFwjyANVKgFBo4VU82bywyuAhrrYwBgXBRevbnu2Uh88EM6fP0KX_LY3kI6R1iclWUOmiSjla34_QjETlm60ibA9lqUf3hmKj1jCgEWiWunUiUHPRW-r0xTLzFAUxQcsP9kig5XEBXshe5ZmSMYmXCOGLGKVwkqejzDpn1Gnfbg8nPWOvqI2AlCsxVJ4AtZGvwct1ShTysAjEc66eqPkoRb7FVXkuEdcBr48M57iIpUefGPyekWpqVt12awzRrM0QoBYh5WRCS7_z-Fxdg_mu_HEeeQUmrsoAhSr2-ahIfWZDrbmx6gIW2x7c7P-LOnXPxU0MdtQ_nH7PiietqapSsuh-0hhzzw1pSyIkE0ZHUbDkPLdvoaogXdfNvSmLb7j5RGLOpjrNZyRL0HYjSgzM-cmGb8PYlEj_8Ca5ChJD_7kcjLpSY-3r439CnC7ThdWVnL9P5v32WmvIeTKatx22ud5jgAZ0uIU9uXdIZF6RFajUR9u-9xAfpeCcGhmI4L3c7BlUmTSDlv2Ah-X--2thUpNcvqGrX_QVxTyARHGmedfLAuNcxY2bes7GD2uGMaBOFHEFQkujS9VgMhG_SuI96rVaNWsVdhUA9SHdoYVb0oPwAoQwMm5d3HwhJFOZ-GiOzFbyMOyFTQpx9HFd9ufpDYWaMhUhEnGS8l6z_5qEoxSoi_OCAV-REl0kUaDmFKA5lwayh8s890EKs3D50CxkswRL4RD55_rNt0GTu6gIDC8cVbZC8BwjbMTPoFCJA6UZiuimSNhsRyx_y3wNGPIcEm81KzGuIyiBjFahyadLCThE59Q==&xkcb=SoAo6_M3l8l3Bj0RjR0IbzkdCdPP&camk=UoKtGZLa3XKGklKnfVF-uA==&p=0&fvj=0&vjs=3,"Full-time, Permanent",False,
4f331e39f80f7d0b,Co-op Software Engineer - Encoder Optimization,NETINT Technologies Inc.,"Waterloo, ON",$23–$26 HOURLY,Collaborate onsite with hardware and software teams to meet performance goals. Must work onsite; full work term commitment required.,1756875600000,https://ca.indeed.com/rc/clk?jk=4f331e39f80f7d0b&bb=KgJsBRpHlHR_Le3LGal5AoG7lGApM2tRa6_ppio_cr9s65ej5_ov1LLCuL9XOi_saBAwHhywdLJ08rSKm7R9DNLr7ees3fHA4y8CellmcZ2ISK2eH3vHlRww0ND7mg1N&xkcb=SoBS67M3l8l3Bj0RjR0PbzkdCdPP&fccid=f821f8a67da4507b&vjs=3,"Internship, Apprenticeship",False,3.7
fbb2f87a4f2a1b33,Linux Systems Developer - Healthcare Platform (Remote),Dept_PhysLoc_OrgGroup,"Waterloo, ON",,We're seeking an intermediate to senior software developer with deep Linux expertise and a passion for open-source software to build innovative solutions for…,1760677200000,https://ca.indeed.com/rc/clk?jk=fbb2f87a4f2a1b33&bb=KgJsBRpHlHR_Le3LGal5ApFT59NNheGwnpB0z4AogxIQNAMKr1qAM0tMaxZK5Z8gxMdq8m8ton_mmCqOSUK73mUxihy7gw1UjIAym3ASG0pCGXDqVoNt-PMlSbtrwv4j&xkcb=SoDm67M3l8l3Bj0RjR0ObzkdCdPP&fccid=b134277ccb0611c7&vjs=3,,False,
3094f184d74f1516,Full Stack Engineer,Planitar,"Waterloo, ON N2L 5Z4",,"We’re looking for a Full Stack Developer with a product mindset—someone who can move fluidly between backend , frontend , and database work, while caring deeply…",1760418000000,https://ca.indeed.com/rc/clk?jk=3094f184d74f1516&bb=KgJsBRpHlHR_Le3LGal5AhwTxJ_OlTKTI1TTHdTfozcCa84rFTZeaEYSbi00qkFE-zxk0cGYb1hDGjP2w4Vo9yo8IOf6kCqx7W__pmbzmwmliIALVpUmalHdXm38mPaN&xkcb=SoB767M3l8l3Bj0RjR0NbzkdCdPP&fccid=b469f6f2572bfd92&vjs=3,,False,3.7
0dda46197340a720,Functional Test Lead,Atlantis IT group,"Waterloo, ON",,"Strong Test Lead with 5+ years of functional testing experience,. Including 3+ years of testing in ETL, database, BigData environment.",1726808400000,https://ca.indeed.com/rc/clk?jk=0dda46197340a720&bb=KgJsBRpHlHR_Le3LGal5Ape9j7OLvWqpYWTSr-AXDCdt9HuMUnN6y8zn6Jpvzzi7WUBlGB78hKMVCeaLxlDH9n586-o_YWxMwYdfedPA06YO_-AeSfX1lYabE2yOiFeX&xkcb=SoDP67M3l8l3Bj0RjR0MbzkdCdPP&fccid=2009855d38d34a84&vjs=3,,False,
ba7e166617ed4550,Information Technology - Electronic Data Interchange Developer,The Erb Group,"New Hamburg, ON N3A 1A2",,"Provide support to other teams for EDI-related issues. Educational assistance up to 50%, with specific training required by The Erb Group paid in full.",1773205200000,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DxMzpqoZyfMcQnDuOcuviPo5zc5eyPDaPRowWEylkT7wwzyYt-kNAaA_aIzFCew1ngmAoMFLnVMGfWBLsElu102G6fOby0IZmATIrUaLR5Y4g0Ly2jVqHci9IhJD4g6DGyF8-IzvaUgF4zCPwiUhCJnlmCU9PN-5ANjbzvaB0jZkpZBthGFvO6Vbv_7FrhN-LymaRx4dS7T77DdJI3SWl5GKNLQ-2KMrx4gEhQ-YrX9bwR-eBQIFyqWimfsM-E0yW1ZruPiSANWzuY66AVX9uO27T0CyppyPjZbOFS8OPphUAcYwcJp2LLkKPqvLSmnrqxSF9vQr9H4aQRB9pIvKYR4UvpLEzNmQqN240LIrM-h9EPzEa_2EkbB5PSJo3NOMwSq0v_rvDLTvI2qJ_Ch1CmNBn-vP_KvG8cv4zN4_gdqyuNZcw54AP4QzA55j8BrUBnrqOxd87rJIMh-FfQ4M-QP0y4xNiMiOPlo-1fCVepsy4ZaMFHqcmtxvq2dHzTlQmuk5BG2OcYhYQVcTdFEXl5whBnDCZ-SH2fZf3k4siA4AZmljE1VTWvBfdqOBD08v9TOtvSFtRanLEZatLUBUvkWGH9uNf4oVkohJ8ul9N5vcgmQJGLHhTY24enwTnjplTnX5JyxpSUFK5Zt5CBV8SqYZ_xE63F9hnLXJviVWNU9itOLKD-Lk88kmFXcGSRESm57ylUMg2lsePaNf_xUExJeEUFl4Y0HbRr2PtXMkfipcZxa6ZeGI-NODWvGXPnLR3u3-BoqQDb-n3iGGNBStnClbZfjMgdYtxxhLQtOH-odcZTZ6m5TKpM3ib4om48UzHqTm-IQxXgxNMpIIxeQoMJjBuiEF2LENcm01V_a1m9PxN3odZlE6JQ&xkcb=SoDS6_M3l8l3Bj0RjR0DbzkdCdPP&camk=ethIe0s0hediB1cn2yQBEw==&p=5&fvj=0&vjs=3,,False,3.5
d1067652bad96006,ETL Test Lead,Atlantis IT group,"Waterloo, ON",,"GCP and GCP functionalities like running DAGs, troubleshooting when there is a failure, console, and all other features present in GCP tool.",1731909600000,https://ca.indeed.com/rc/clk?jk=d1067652bad96006&bb=KgJsBRpHlHR_Le3LGal5ApYNYFURjKqP5ICGUYPLmEo84ueFdLJ42BL1HQKYZkJjilvuPgd12odyDJjzVlXeTmFxWcVPeHIa6AW7xXgbPzDoGKvUWbwwiu72Fj1PU1In&xkcb=SoCS67M3l8l3Bj0RjR0CbzkdCdPP&fccid=2009855d38d34a84&vjs=3,,False,
046eae6ea03c7a9a,Software Developer,D2L,"Kitchener, ON N2G 4X8","$70,000–$105,000 YEARLY","We are looking for software developers who have a passion for technology and code. Experience in software development, preferably in a technology focused…",1539061200000,https://ca.indeed.com/rc/clk?jk=046eae6ea03c7a9a&bb=KgJsBRpHlHR_Le3LGal5AuSXo86aqrjagY4iLm47Z1zk8efRKbg0uR_Rcz1btdqFloPtHEBHYjy4PrHPh7oaGhK9aRVh2uDBKSvpPXqGvR3m-DZyFYDQ9ArBBJDLDle9&xkcb=SoAP67M3l8l3Bj0RjR0BbzkdCdPP&fccid=7c3a25cdc8e47610&vjs=3,,False,3.1
9ea743ef28f04034,Backend Software Developer,MAJiK Systems,"Waterloo, ON",,"Design, build, and scale cloud-native services and data pipelines that transform manufacturing data into information and insights.",1748235600000,https://ca.indeed.com/rc/clk?jk=9ea743ef28f04034&bb=KgJsBRpHlHR_Le3LGal5AvWr1Fqrwa-4EMVkahL42YrYjTLWeR_MrQpokUIf2xlgQO5ERO8XnjaW9E7iCMJtgxuMgVmtVt_Mxhl3pDoeIBYrs3i6cH3eyd7uvw1oaLSE&xkcb=SoC767M3l8l3Bj0RjR0AbzkdCdPP&fccid=b4bba027bddc64d2&vjs=3,,False,
ca334e2308e348d4,Senior Software Developer,D2L,"Kitchener, ON N2G 4X8","$90,000–$130,000 YEARLY",We are looking for seasoned software developers who are passionate about developing software using engineering best practices.,1580968800000,https://ca.indeed.com/rc/clk?jk=ca334e2308e348d4&bb=KgJsBRpHlHR_Le3LGal5Au6nryAzRglBKUuV67H1Z4ZlRAuH2fEAtsVFmcS6Y7ZVcPNV7jAKQKk0mZPviReok5Y50uTHECEN38h1Q6xsnH0RK1qyMxdKL8_ALRBYEGon&xkcb=SoA167M3l8l3Bj0RjR0HbzkdCdPP&fccid=7c3a25cdc8e47610&vjs=3,,False,3.1
