job_id,title,company,location,salary,description,posted_date,url,employment_type,remote,company_rating
b0f0aedc2a04f99d,software developer,SOFT MINING SOLUTIONS,"Oshawa, ON L1H 4G1",$48–$48 HOURLY,"Research and evaluate a variety of software products. Write, modify, integrate and test software code. Prepare reports, manuals and other documentation on the…",1768284000000,https://ca.indeed.com/rc/clk?jk=b0f0aedc2a04f99d&bb=Rn973nCmIGovram6HTXCExoyteeZZlrTBCRYSDV5acbnjqixrwh3KAVZOnDr0Ys0XH3dNb8TMlhJkxqQGRaW5nRWPVQSmqaB9DW44mJ0V9dHmQi543fvXT3jJvvry9UW&xkcb=SoAT67M3l8mRww0RjZ0LbzkdCdPP&fccid=f373fb4cf6b06304&vjs=3,"Full-time, Part-time, Permanent",False,
1a538f3390713db6,Software Developer,Universal Rail Systems,Canada,,"Conduct thorough testing of software to identify and fix bugs, ensuring the software functions are as intended. 5 years of related experience is required.",1773205200000,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Detbc2yMmaiSpTx1uP3VtCHFIwLFQiD3NWdnCwVNCRX2eh3XzIlnVC5ebz9TRWQDPixdFH8J72u5kTPPCt_QuGhP97S9hB35XsmCDATcj8B89Fm4lqJgrYpL6Xq7tymmXBJuh-hVeOScKrUSF_os_VVeg7Vyq-fWYD6AT8UxhW1h8X3dQRyvqPlgcd2bkqOPThs9L2tsUTHdS7IJqS7D7TbT5lhTFEmesD6Um8NDxA_i-ovz7KEcBIWtBCbfTlKIyIeLdioWiU29FVwuuYWepiu7JMv474_j4UwVgaL8fCfZ32zJDicvk1tagNspkX7MXXmAWICMGz68MUI_I0hQYIzI-FPv6C5nt1k-NSXCzF9BnpxGK6QYrQxwvD-YH8DauIzhT91L31wz9jvEM3h8rSWacoaBFl4k8FVST1B0qYJuAtU1kNrbDGmdNgB7MNqqFLoNC9uxbNyrQYo9wBOuR2T3NvzKXxIPN3mSoFLjorwd3KDQ2T6_cRsbDa0jN2RPLt3LM9lA56Yr2s_ofoMn9X3UyX4NBELfzaH1MFNHYKTTVX3nEyI2EFJRDdrqkf8gG7ilaFo9qtOqTJ3X4nghvCDQqA6dkIwAgHQFofIhvTgPkK2IYu6BWiu5oOfEp5KW9SdpSBpKXrlkLoQx-nsWr8dift4D_EedSYSTL8VBu3J4XIXiKR_ZufMwmxqrYHsO-VPOxd1mdE2VDS16JUd0wsHOZ1mlZedTqYjuFkuFp1_vBFEiylrRLwcwPfS8zbu0CpjL_Yjjlqw-CNcb57dU-W&xkcb=SoBT6_M3l8mRww0RjZ0KbzkdCdPP&camk=ethIe0s0hecye-S-WkCwdw==&p=1&fvj=0&vjs=3,,False,3.5
637eb2b6288af3bb,26-017 - AI Developer - Python Databricks - 12 month contract - Oshawa - Hybrid 4 days remote,CorGTA,"Oshawa, ON",$95–$110 HOURLY,Cloud &amp; Data Platforms: Extensive experience deploying AI solutions in cloud environments (Azure preferred) and using enterprise platforms like Databricks.,1770789600000,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dkh866153otbRJ8nVMuEXnXPd315JS377__3VyD6HnNQVW60k3pONiZrB4RwVAuG_Ukj5tQT1jlCJ9xna5Sy3OHihS6rzHNnq7-0ub9igjsOSIQLm3JNaRVx5TTFv1JQCaWWJlNn0C8oreKbLoWfIDRPgB--6lSyPjoeonlbB8sEZjgGjyLf0xaLcRBPP0fI7BxYNH_3d6EW-oYDAZ4kXrAPBhqenB7qQO37R-qhjdbiPP348mysEn-TGT3y_dKqSLbjkMbbTbZlIQbY61tAmV_osV-NCqfedW8qCo61q27alqVW5TdnD1lG-fomEK6FxKT9JXtluFUed2M1HvBv1gA4d0xHOb8o3ahfbr2Bmqz3BYFZbTWqgaysN4aUCDHy6j79He3YLM8UarDzBIMiDB4sPgfGZLSzYRcLT6cIUYCbpK3Bige7uvEf1NxV65Yi5XgzP56oUbYE8TaCtFtRho77kei8ifjQDrLJ8PRzVTdcjH8Fftb8Tk8qBnKzSgwxUCYYDbDPLDYjdZSbMb4l7hI8SRkTzMbpzEzhnWM0I3g450XSIjNwRrLtqDCXppkY1qg8wFxicekP7A8vT6Mx5Mbt25AvQdjz9WHQDV018T6guP8JujKk8himSeQB5D4qaaZIQ9uCtRmkuukQo-5jlWC9nELbcq5jR8h7-crk3DhzxFvoh541S_s6S0-oH5CbAMo4wZYst0-sF1pC-I_51gHwISeKh5BQrObIB2bWli4xaVzBDEZtiCT4_ErUKHZWY=&xkcb=SoDO6_M3l8mRww0RjZ0JbzkdCdPP&camk=nUmJqO2E8rhq25UJX3iHDA==&p=2&fvj=0&vjs=3,Contract,False,4.9
299bc8f251a3ba29,Integration Developer,Morson Talent (Canada & USA),"Oshawa, ON L1H 8P7",$85–$94 HOURLY,"Build and test APIs natively on Azure cloud. Proficient in leveraging cloud-native technologies to design and deploy scalable solutions, and in implementing ETL…",1775710800000,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B03XrcCxNbvOz_WST4FsJZHl92_cdD4JeqU5ZQ8iBR1_0mAeLKrvMSwf3YmK09nm1Uu-IPMRPdIxRdX94oK-fbzcqDcmzo3yaN0ha1Haj5ecBXIssXrIKw-0NHehdc-w-Lx-JuEsp61nISl-8zjeS3u49GLppSC4-rjbTYJBYzyzwPAWRVYJoEZdhITXl4svyRbE0CeWQn76jElAAgZieIPL59YFNr_eUjOALq2lYMh9i5tYnuEihbNRKqOlU0nyaTEBF2yCc5HkDlsdoZMLxiBVFZr93rRDE0S7zFg_mU7gxYlOO4sCho8j4gDZnpUGnnIhxv58QrO2_Bw3ylsFWA9Kx8xEFL2__dd9EfVLH_McdFhFzTZvs2OObqOGo56Kve4M6f24OQ0JjFPy9r3AVvP1OnPI9EDCF_O9ltDu-LwVvSKlgk8VAwqqAVheXYuv9yJ4ZzgqZe5J0vlU5k7EPD-Vf5gpEkuHx-Uz1geto9BpwpqAoBgH3n6ujiGamTeWaHfvcSDHKg-meaTI8Bm6DJOqFHnFJyeLVz4kk4TJ5dLeU_AGpyO34GsQeL2SnW4iiTezqy55K-MKrFemfsyxTy7e0W1xtbfLxo3OGeVc5_6-ATkaW8hu1PGWdJFv4Nbyx0ToD5wfUa2lQTP6OM3_vclL5VUDs9zc43u3rXZDTLEULPacc2Gz7HcwxA5mknfKAZCbLokZMU7I_uGxvULeA9Dx3UMQpZGVKg4JSo-H67mZ5dkTTOGqZzHnRuE5zfIEYS3BgXY_jV1P9W2Sh21GFBqQhYaJWT16E=&xkcb=SoB66_M3l8mRww0RjZ0IbzkdCdPP&camk=4HOcmqOLYrBGcGPkNd1fNA==&p=3&fvj=0&vjs=3,Contract,False,3.7
e092d45b6dcb802a,Integration Developer,Spirit Omega Inc.,"Oshawa, ON L1H 8W8",$76–$93 HOURLY,"Build and test APIs natively on Azure cloud. Proficient in leveraging cloud-native technologies to design and deploy scalable solutions, and in implementing ETL…",1775710800000,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BAe9_n_9YGLW4FlOPWR41N8xqP7djLXgaXeeMuocALxmCNozHek5n4BgITMA7S57DGLyu3K-nIfLdf6lR5x7nwvf5X-yZyGw0tk-7KA-iQet6AcxB4VMwqUY1OUXMmFYTXFBTb9WUCe2LCx70z2ljt4-nGeEeHk1qSn11dHkaKCbIbExHObB4nq9ggBwsR8wEFZIY5qjBgM7xKdXT65Ka2Qipy8ybdEB8Gj7kclochFE4lvpMO2KDSi2heZG2fmwqtsg1K5kToQ2XVBEDi0ysYnTJcm5E03yQr96HwhWb61s2ExPtbcuvGjVuWQCxp78fBG0YF1scuU5iOmSb5WRjvwQdezdVrR2pPju2L4GBZw2xCeix_I8bp1HHldzmf-xL6VrFHDKKMF1IwRsMg4nODSsjLCxFhQsnRJu9wyb64kHI08nqTYNi_yfZ21YVrxzC9pwjHjG4o9HOeiw2uWWBoZ_Q1xPNeueJk6udGJ8cnczxoyAtN5AQ-6iUU7vHaXS1qJtnfxm2NqTl4RL0U26AnCnZ1MxwLMYMbF3d6yAmmtluC_WMVbBezMk8qFFZSqsDqFaPJQB2UjVf7UisONCRXJuE1VT1LXMRGPrh0VhoPCJhw05reJewwFzvCE3ZRyH5dDOtfkoJ-nHf-1RkQdJiG-w_9lu-tBjrLq4h8pd84y0vL1kgEIYlDlLKzbX0zCuPKsM3ZsFb7LXFVm4mzlCaxQMxhTheQpsMqUfguMOtlGg9W_UKBRNkgAL_ej-ilLRFNtAfkm7xe4SX-aS_Ar8-Aj8JPhBXZ9eCdgIR_U40vgIWBKdQZqkMvh4TOpFgz7He9HXHE_O6PR2U3tfwjPWeSlJC-pyeTj8Ngi4DP1W1Qyu1I9MeIswWbM6PTzaT-mWm5kyRkW31R1DxlBMQUkz8ebRBbLkI-CVs=&xkcb=SoD06_M3l8mRww0RjZ0PbzkdCdPP&camk=nUmJqO2E8rgyBu2GXs61oA==&p=4&fvj=0&vjs=3,,False,2.9
59d4c35692078690,Project & Control Engineer/Officer,Ontario Power Generation,"Oshawa, ON L1H 8W8","$1,705–$2,925 WEEKLY","6–8 years of experience supporting project management or project controls functions within large, complex projects, preferably in Nuclear, Hydroelectric, or…",1775538000000,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BUwo9UOnNpPnMVgn4a0Mj_XcMPzzLXIWaCV9lXLQpydXAaVhMVem7t7lbSFehNHYaqcnJAv4HYkda6shaM_CDJjQ2iKvYbsu70EiQFYX5ogO8Rb9Rz1XdisdVxs4CGC9Q2BOLtiQ_l4XTznduTHLLtYx98EYWvIVBPOZwR9HSIWOzqx8yH9gikQzekwBT7b6z2l_ur0_8KKuA8SwAVB4g-2Ll2JAdag4hgpgQMCQvaHbhDeULaPi2EvRheV0sqiJA8XHKS8uJ35J5w_xoiee9irn_2Qe22gKRKMOOkm0Lxlm9acqHAokCFc4zpAN3QslycaVcw0ydPB3_fdOg3eOSgDK8LRpOmNgW1VN5gXK2OvTdfn1R_vn7odQiog281aH3bYb3FN0xlmi4Dyzx_4IN1qGKnUGoR2Grk-fOKVzxWuIMlNLJKx5DWIY1pHr1Tk-6DXsQtQozighYRR3eKXi0cCBa3oJ0yu8VFoAosUkSOKFGas_8ekEdsJDf2PtPqdNHXJoXoPWHS_AtQoG3-OllEaSAebAkZVacp4uM9AHhjPKiLNUQ0qByeHig5xiYtR1i75AzU-KovD8Qu33mtSAkVQzmY7NITt9cXozS97PhCcaEzZlpQ8dK-A75XkCaQo3XO-ZH4lNZJXaj3QIKyv1wa7i1acVbTUII0uI-d4JUZv1kUhgM6s9Io7dZehQdEs4EO6JANcfe8lZ60AJU1KBsJVl65MIxekuc4nCwDbmFCTASGSO5ugq14A248mpwt5gqhABCWw50MhLHdDT053TEHyYNOvRLCYP-nc0-3vbpPb94b8qbCLzEG3H51jU1T7ZW0xMvU5lBEOwryvr6_9WOrS8UfcQvqnPYxTZJsR08XWpMgeBpPDgz0us_tJmhS46U=&xkcb=SoBA6_M3l8mRww0RjZ0ObzkdCdPP&camk=UoKtGZLa3XJ8A4cllnZnmQ==&p=5&fvj=0&vjs=3,,False,4.0
dd3a440c6f2e9c83,Lead Network Engineer,Ontario Power Generation,"Oshawa, ON L1H 8W8","$2,659–$3,119 WEEKLY","Holds professional level certifications in networking such as CCNP or CCIE. 4 years of university in an appropriate field such as computer science, information…",1774414800000,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BUwo9UOnNpPnMVgn4a0Mj_XcMPzzLXIWaCV9lXLQpydXAaVhMVem7t7lbSFehNHYau-SETSVMe1zz9aoPGDSFWAkFX4pYRKmT2J9a-2lFPgDtxXd2FHfJR_WFV3DHdZ9h665UrgwqZBTysJ_9HyN9dq-UFrJ9kPIYngS5Qb_kF00hJE-i0UeDLD2LPpf7m3Z_26CXY5pTye9-XLsER11EGldzJ4xTlllTT5OJuV_fQdyLsrzFWf-xeeBiUGltsxJxR4MlwqHvNTYGg8J1M161t108QSbaX3WiEAQpMKRvADbMbYrJ_Apl56A2HcB_9ONA-fe9lm2-RISIpVVY8xgL3knkEWJehd54XzG5kPEwjwldBHIpT4ejD10cV81u21I1c8L_Kcr3GDP0TX5wyaEFOqcmzQHzFqe7gONIHiliShiH7Hzaw8t5q-bTZgJTc257FWdhjhpqWJ7L-NHDkZ7KD8kO2N7OOCxVL9CgFcBkhWbudZtPzmWrjp0UlmheKPxntCaNl6RL_Fv0BnEV7-MirujejOeLF6iCZxDfa35o8y1KXeO6qMAJul2kQEcrjGNiBb3vI5_40Yo44txkc78O31L4pStEZwV0CrbbYHBAL7dBqDDnTWnIcRZrhgdaq2ch5RB1KVKoNYMOl5XKxvJbhm7wcVVaTwOsNlqJbcOAMPZkY6OPQBGxmy38NijYY1piHVR1Wrq4XYb9wYSalGHnIksgP4Hx2OOlsEm43CASlZQdxYHWHOS1cvDjvxESJkI3pgiyXCIxHUospn5YcJ7_0yaN2DnzPxKjCu5njaHfVclDesqC-7qF0OAi3qCfeAbM9MVmbm9EjiUrqJ2n6wkvY8eyJFJZA2n4=&xkcb=SoDd6_M3l8mRww0RjZ0NbzkdCdPP&camk=UoKtGZLa3XJ8A4cllnZnmQ==&p=6&fvj=0&vjs=3,,False,4.0
d6da06587c9f36c4,Kubernetes Engineer,Morson Talent (Canada & USA),"Oshawa, ON L1H 8P7",$60–$85 HOURLY,Experience with Azure PaaS services or equivalent cloud platforms. Proven experience in cloud infrastructure engineering with a focus on cloud-native and PaaS…,1775797200000,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B03XrcCxNbvOz_WST4FsJZHl92_cdD4JeqU5ZQ8iBR1_0mAeLKrvMSwf3YmK09nm1K5dy6HhUQRRPo9PSE9rYlo-Hxr9r8hikhGSZ_rckVJwJcx3Y2oL9LpuZFQdOxY_D0q7YKGZWvu4JTJzuxhTI_4BqSAZhbx5Jhdm4oJta5Qhv-v71xNAoqtpp8D2OnaVb_LWbv_-jGlW97ABQZuM2G44vFCq8v4UC1ftbwd_QXPlBtZ7DYujTcRLSRBCcr8_WcqZdao48yo1QkOzB-OdEPf3ivHBWCUmMMAdSzlGUpoig5vYOumaK4O0Q_4YB5dwOZjhz1GG1jJ2tCXypAipaTVSfzDFRbfSWaidTbsbgNhfRPwJVDZrMhrWSMc7TmDlUnFOIb1NBHIZ24uCJaLvw49IxtUt-DuEJh5DE3rl5ZhcYBEiWvuJLzD-SNT3FjiMrSdHZBb3Fp8MbVvFJXmrfAaCU0XZ2ZPG6krZuq1cAyudd9BoJ1F0UGxq0wnVc4_NN1hmIRcMkqaFyjyDeOGbmbe4GLwatnaXMBYeihljYlBzKNrS2uxse9fwFzKYobqoFdgaES71JeStoJd71xDHmYSORBWsePuwSATpWloTssWsFWdS8SVfviZZi_VZuj6yu68c-RJfjLvS1A9WPDTv8TPnHQ-OzBLSdaSxF-fkI8_mmd5wMNT7y1wAZJNNRuB3q1bRP8LpwKBH0kA6-xMSNIJ1pWrlSzdk20sbSByrjIDV6Qk4q-6IhCSDzYrc-RzcIw0uPDeuMImwbE1rHGQwc0Q047ZqtsW5s=&xkcb=SoBp6_M3l8mRww0RjZ0MbzkdCdPP&camk=4HOcmqOLYrBGcGPkNd1fNA==&p=7&fvj=0&vjs=3,Contract,False,3.7
869d166e0e2e8a73,Industrialization Validation Lead,Safran Landing Systems Canada Inc.,"Ajax, ON L1S 2G8","$78,100–$97,600 YEARLY",Education and/or Certifications: Preferably a Degree in Manufacturing Engineering or Certified Supplier Quality Professional (CSQP) / Quality Engineer (CQE).,1770357600000,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DhegCc-RcmgZKnhPhf6HMy-sxpl3_qCkA6dLQR93s4i__6FUQ7ElmDtZnAiU0CREH2qgkCDAJz5vS6h6gwtd9T6sWXOaxz7SP4wK4QesI1veLq9VmFzSJFyRIxx3W4VrmPYzBFYa4XygG_ukluJC7OQVLwf68BtQVvwKUK1oDVdpW3QgPnHA7T0WnTniFQfRDwiYjoj1UUlek5aN0GqbdVsrEalOwiHI7eOutG4tTXyBMGFCEwVqitsWVv05DIwyzuzgIT65twOm7tQYwRobnZClbldXalge1_x0Y_HzVh3yDKM8WsAU_IRRejlVXavYgwwO_keuVmElgsM8smes2wCplpwPtd55mQFQ5X0VKVgbC6ozaR5dO9SBegvzVHDGPaC_RNtwNBxMLAK7EbiOfqzQKgBNMcweORH1DghQTDzOLNnQxs_oX2Wr5gvbJih71Ur8GYMTnXnvOwOvY0BtAiw-9SrCxi26ZMBXerL31AcBwg7A-B1ers31UQv4jeQasYmJidZlPHmO2UOoOpVxcR739cGb_mMt67-nbDiffWGXZAWKwFSQJ3CJ2WOhYJjGZOSYL__P8t9ZbFnJ6bc1K03xuzFhhe-gLidXjHcgSRUp6HV3NQbJZhMqmY1lvwH4DKVdNkadr7IBN8igC_5m1Ht8uK0OksJIHmWSmf0iYVsWxJT6xpWA_uijpiwQ2Ip9r-0enMQf0t0egp1TN87G7s5LfgcPFtSzeuWat4UrpjyCVudkOv49c4helJHXEFZz8AkBPCqCHNdFdMM2wKYv9EFoLwTLLcfidHg3tbUJbKjt55bi4V89hC&xkcb=SoCA6_M3l8mRww0RjZ0DbzkdCdPP&camk=4HOcmqOLYrA6S4UWNT-C-Q==&p=8&fvj=0&vjs=3,"Full-time, Permanent",False,
cef9be678fa9142d,Business Analyst,Metrolinx,Canada,"$80,588–$80,588 YEARLY",Familiarity with cloud environments (Azure or AWS) and fundamental ETL concepts. Experience in the transportation or public sector is considered an asset.,1774846800000,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DXEmLNxhlfb1DfQPRi2Hqqw8iFFwmn1EOj9RQ70l9iJyiFrzmYjKIH29Qdx7PbvXHOYwDbv5eiIcevSfnLDqvNmy9SEUEtZg7K7jRW95fU9KDqE1TIWfacLZAMGTio_dWVcNnUvOsoWdRPoPq405nkC7bktU6i-vrhcBRBtHQObQubimLKimHqtTEM0jmbb9ldYj9utGVy0QDI1QvgBTfQT4bOpdPZxxG7yL7vCPapiEQnCpko_IXU0e71C6WOmCYUM9i7ty8-bVO7glm6se0VD6n-zoQ3GixBasciCUDF4_jOKHURKttagLiVIDZj_ztwH43GxuTYPU95U8XRPs5NUST0rZITmmsnJZV5ZktPfXfn1N6tEv3M-w-HaHkS0TpQEutBLElTTw-mF02sPLzZGIPlske7x8y4c25HmlRyJ9YeBERXiUfSXGkjix7dNrqzW-rwAXaax-c_9cLIDCN5Z6cnrz2ak05c8VwKEalaxV-pu0Vt3Wich-T_N9H3fhoU5HrZlFfb0jqWvbVtNov9ksV-7lYsauYUlZTCLsAhGqfsxolBE3EFYZ27_YfhZGarp8qP2fV7ZhX9m-HfoTv13RSAYVLgVfbv5VzvA4hXL0RajXDH4PMgg9Y1TFDYuIjiJ_6cXBOwRXlEHlmojhJrIi4khXhlrAu4YBE7rN9DnyvP-QICv52X2Ciefrc3-h8BQHH3g5MFjNFmROJ27cf5zrBA7YGQSXyjF7uQAM4UHyEM1IyfGG4mUSbNLgp_9MEmSOaYZafxBLTH-Dfkw9vumPydBd_sWgrXHAZilMyNL8QNhMWmR8gp&xkcb=SoA06_M3l8mRww0RjZ0CbzkdCdPP&camk=nUmJqO2E8rgAWpNknCzuMA==&p=9&fvj=0&vjs=3,,False,3.7
