job_id,title,company,location,salary,description,posted_date,url,employment_type,remote,company_rating
57e854d302b7af4a,Information Technology (IT) Team - Canada Wide 2026,Canadian Musicians Co-operative,"Barrie, ON L4N 3B6",,"Help Desk Agents evaluate and install software both network and cloud-based. Training and Workshops may be online or in-person, as needed.",1775106000000,https://ca.indeed.com/rc/clk?jk=57e854d302b7af4a&bb=LuuhOz9U4Md_MzalJ8XczvPWaab7xxxbvv62gcmggLMoGh71XVXs5hAW-WewpcHqOlX00Zs82YpWfR9GLVIbLOXYo2AYwY8AVceEk36cnMBPPcC_A-bL4UADlK1KB6el&xkcb=SoAl67M3l8n12Y0RkB0LbzkdCdPP&fccid=bf4e050698b95f42&vjs=3,,False,4.4
a9090056e3c905c1,IT Support Engineer,KIS Technologies Inc.,"Barrie, ON L4N 3V9","$50,000–$-1 YEARLY","Diploma or degree in IT, Computer Science, or related field (or equivalent experience). Experience with cloud-first environments.",1775624400000,https://ca.indeed.com/rc/clk?jk=a9090056e3c905c1&bb=LuuhOz9U4Md_MzalJ8Xczr4AuitowZ4s5ZA5RhhmQvkkn0Q664Y1So6etGQ63JWaTVt4ovWR8zUM0W9UcTMnZ-xaaQSz6RtgqzqDvRy7Q5HH_ipWcYmOYQEFfsn5qZrUNXNje4FeZb8%3D&xkcb=SoCR67M3l8n12Y0RkB0KbzkdCdPP&fccid=a3a929c430e185c0&cmp=KEMPENFELT-IMAGING-SYSTEMS-INC&ti=IT+Support&vjs=3,,False,
ee0cf5154b2383fe,IT Helpdesk Support - Summer 2026 Opportunity,Joe Johnson Equipment Innisfil,"Innisfil, ON L9S 3V6",$18–$21 HOURLY,"Troubleshooting IT equipment (Cell Phone, VOIP, laptops / desktops, AV) or software. Demonstrated hardware/software troubleshooting skills.",1771394400000,https://ca.indeed.com/rc/clk?jk=ee0cf5154b2383fe&bb=LuuhOz9U4Md_MzalJ8XczoL6k1zAtlLdtDWa2i7SJWFUZOzJ9s4Yl5H_f5ptNBKclj0yMKRIaXzjNwPBeraZ_bRH3d-jUaqWh6RkrGDwckFMeZU56zu_Bl7KOsIHml-A&xkcb=SoAM67M3l8n12Y0RkB0JbzkdCdPP&fccid=4b020326ab36af67&vjs=3,,False,3.5
9301cffac43b4e3a,PROGRAMMER ANALYST,Georgian College,"Barrie, ON L4M 3X9",$47–$54 HOURLY,"Courses in database and web applications. Web-based software development C#, ASP. Keeping current with technology, obtaining knowledge through documentation and…",1766037600000,https://ca.indeed.com/rc/clk?jk=9301cffac43b4e3a&bb=LuuhOz9U4Md_MzalJ8XczuDuo09kdhB8FpqJghmbfUpiQzoKajfpHGQH2wBY8XGNYPci7zp0gS3rCKbslN7wnB6J4O0C_cNpB_slecfkvB0Gh59xe-RtTSz96uHCw4Vt&xkcb=SoC467M3l8n12Y0RkB0IbzkdCdPP&fccid=f6dd5a30b1271655&vjs=3,,False,4.3
7a8b6e1548950727,Business Analyst - Systems,Napoleon,"Barrie, ON",,"Provide guidance and/or instruction to junior staff members. College diploma or university degree in the field of business administration, computer science,…",1772431200000,https://ca.indeed.com/rc/clk?jk=7a8b6e1548950727&bb=LuuhOz9U4Md_MzalJ8Xcznz6ur0a2fG9BQsH_5MsEJokVYOJ-fuHi4clOrj8a4nc5XPo9bQOVNdvGGxnNfZcCz5LnPqVVRbE0zeEZg6GmWrAxLmiJAnOv4a8_6YKRWka&xkcb=SoA267M3l8n12Y0RkB0PbzkdCdPP&fccid=0dc8a475ce5e2bdc&vjs=3,Permanent,False,2.5
60f088481d95f485,Purchasing Agent,City of Barrie,"Barrie, ON",$46–$55 HOURLY,Availability to accommodate deadlines or peak period workloads that may extend beyond designated normal workday hours or normal hours per week.,1774414800000,https://ca.indeed.com/rc/clk?jk=60f088481d95f485&bb=LuuhOz9U4Md_MzalJ8XczjO4CKa5k8kQmLYHTZpT-guW1w8x1yBMMNRu0dKSHzbYR_aH8BL1hEoWxctMhwOQi34S80z7wiy09t4KwPdEDiZwDsJ3M1rsCr6z5hvdUS0d&xkcb=SoCC67M3l8n12Y0RkB0ObzkdCdPP&fccid=56897ef9a1dfc87f&vjs=3,"Full-time, Part-time, Temporary",False,3.9
278f0766974b7bca,IT Specialist ID #1487,YMCA of Simcoe/Muskoka,"Barrie, ON","$55,000–$55,000 YEARLY",Experience serving as Tier 2 escalation or senior technical resource. MCSE and CCNA or other related certifications are an asset. Pension Plan after 2 years.,1775624400000,https://ca.indeed.com/rc/clk?jk=278f0766974b7bca&bb=LuuhOz9U4Md_MzalJ8Xczlug45s3BsN_KXNgKCGjV2v4nysxzeSRVcb8W-azk4o3A0kunVDGiWSFYRV7wkxdUB9lu5WnRep1v6CMLqT0-1ImvEsroHTB7KUIv0KsbGn0&xkcb=SoAf67M3l8n12Y0RkB0NbzkdCdPP&fccid=22b830a9fc603f47&vjs=3,,False,3.5
21a6b0f605fd3978,1.0 FTE Permanent School Office Administrator - New Tottenham School,Simcoe Muskoka Catholic District School Board,"Barrie, ON L4M 5K3",$29–$35 HOURLY,Two year College Diploma or equivalent combination of secretarial courses and up to five years of relevant secretarial experience in a school or related…,1775106000000,https://ca.indeed.com/rc/clk?jk=21a6b0f605fd3978&bb=LuuhOz9U4Md_MzalJ8Xczn0to_WhAkq8Nkdb9T4qGv8DrS4cAceXcmZGg3OjblXjeyGVhrq_1saumTErPsLYg9zEpmRtNVd6fjMbvB_P9JNv3-HXb44Fya7LoxLqLnff&xkcb=SoCr67M3l8n12Y0RkB0MbzkdCdPP&fccid=5ef29d8a7ece1b9e&vjs=3,,False,4.5
2028fd9064a13ca4,network support technician,Point to Point Communications,"Barrie, ON L4N 6N7","$75,000–$75,000 YEARLY","Evaluate and install computer hardware, networking software and operating system software. Install web server hardware and software. Hours: 40 hours per week.",1767592800000,https://ca.indeed.com/rc/clk?jk=2028fd9064a13ca4&bb=LuuhOz9U4Md_MzalJ8XczrdhYMIvw-nYBjddK-W6tQVnMuIZp8wkVisLc9EfBtd_Gyjl1sJ8YKXl45DR7hNaaSYO_HKAREHlyqI_m5teSfWeGrGUeUJJRSfMNVDxwfJn&xkcb=SoBC67M3l8n12Y0RkB0DbzkdCdPP&fccid=d71fe15dd7e8e272&vjs=3,"Full-time, Permanent",False,3.6
b88b53a442122486,Performance and Quality Analyst,Empower Simcoe,"Barrie, ON L4N 5J5",$36–$-1 HOURLY,Advanced proficiency in data analysis tools and statistical software. Research and implement new data tools to enhance operational effectiveness or efficiencies…,1773637200000,https://ca.indeed.com/rc/clk?jk=b88b53a442122486&bb=LuuhOz9U4Md_MzalJ8Xczoz_oLD01Ul-Z46De48wZffbZQquYoMyg64iOfOYgmawqtLqFapTWBpAoTUqQA5Ik1ZWatgGvBxcCijtsXQNtrP6PBydxpCUaCfzQWfU9_TV&xkcb=SoD267M3l8n12Y0RkB0CbzkdCdPP&fccid=3e3bbca1d7babdc3&vjs=3,,False,2.9
