job_id,title,company,location,salary,description,posted_date,url,employment_type,remote,company_rating,level,is_it_job,it_confidence,it_skills,it_reason
d3e4fb91af267314,Underground Construction Superintendent,Cementation Canada,"Nipissing, North, ON P1B 7S1",,,2025-11-03,https://ca.indeed.com/rc/clk?jk=d3e4fb91af267314&bb=5K4QsIuoJuBk7io-s0f4V5Sp_n1gaQJhqEXY8_3zAvpMAasboKvqCNl-JFVvqvA2yKTyqDZ6qMlAfR3vhoX1gedXhERP1ZaRtKbLnTMoAqpqMQHy2LQ7nmVqtO-Oa3zHHDSDbEnY51tvIhT3dkF085iCrAHj3Zak1L4QXtv_ZcXVamJajwiWhn7W843qD16s5kamMTmg0LEfuciUymQ8M5pTh5kgTT91QlUA4ypKwvM%3D&xkcb=SoBC67M3kFNPFC2Er50KbzkdCdPP&fccid=acc266baf9cdaa00&vjs=3,,False,4.4,unknown,False,0.0,[],Not IT: no IT title keywords; no technical skills
759f4467e4c145a9,Scheduler,MetricAid,"North Bay, ON","$45,000–$50,000 YEARLY",,2026-03-30,https://ca.indeed.com/rc/clk?jk=759f4467e4c145a9&bb=5K4QsIuoJuBk7io-s0f4VwpWiaH4MsrIdbnvGNix8YFhGTDLwvmlGDOEfNhqn_ZTBr02ryB1LQOBn4TJ8AzpnJocN8J9hIh_3znDMDgquFB6QlwnR5mXhR_cmkS15PPELy2y3eSWtKeB4fdGS2Nq1kEP_KANnJLPnJanBVphZWybz1GAGBXuBye6JRR6y2mmKH4_PAab--wbK9NCVZ21FGQU3nlgSEDiMFC-akSGrxU%3D&xkcb=SoDf67M3kFNPFC2Er50JbzkdCdPP&fccid=43d6050cce10ea78&cmp=MetricAid&ti=Scheduler&vjs=3,"Full-time, Permanent",False,3.0,unknown,False,0.0,[],Not IT: no IT title keywords; no technical skills
f802b21690f5a7d2,Construction Project Manager,Descon Construction Ltd,"North Bay, ON","$70,000–$150,000 YEARLY",,2026-03-31,https://ca.indeed.com/rc/clk?jk=f802b21690f5a7d2&bb=5K4QsIuoJuBk7io-s0f4VwZG_VLEmVxdAjZBN7e6YOreW1Siw9JrAJV9H566t2jIUJawrKUNnBv0iHliQMqYC2m7W8oluCrXSHr3nNDkMrAGz6XPgAWKtAbvlxcUNZdHLXYpTQqjU7FbY5fWoilgyS9sgFQk--e7jG00moZQXA3oE_P3YOdw6-IJ3RWuimURKBRuUWkPMmOUcsxi-a5ciw7MC8gTD7zn&xkcb=SoBr67M3kFNPFC2Er50IbzkdCdPP&fccid=54d04d5df7f5f991&cmp=Descon-Management-Group&ti=Construction+Project+Manager&vjs=3,,False,,unknown,False,0.0,[],Not IT: no IT title keywords; no technical skills
5957ed7ffd750b0d,Rehabilitation Assistant {CUPE CS-26-100},North Bay Regional Health Centre,"North Bay, ON",$34–$34 HOURLY,,2026-03-02,https://ca.indeed.com/rc/clk?jk=5957ed7ffd750b0d&bb=5K4QsIuoJuBk7io-s0f4V6jnhSjw1MgbrQxeCOjfNqqYxuhvN4l-pnAxvuNN2ySCBAXcJm5yNV6I2dRdUX5_LhVP0ciJ-Rr0xwkDOaXthCgNLZe30kvaTr71ViNWNVdvxbT1ht4-atUbdu9K2jBU2PfNDWin0Li0i_mQzyg-iog5cL-9D_uzX8gjHB-9UXW_F5WEf5uotomk8iGXQzfHel6hlXlc0YYO&xkcb=SoDl67M3kFNPFC2Er50PbzkdCdPP&fccid=f1e9a9f6c43765a4&vjs=3,Part-time,False,3.7,unknown,False,0.0,[],Not IT: no IT title keywords; no technical skills
6a7d6edeaab3812d,Environmental Compliance Officer,"Ministry of the Environment, Conservation and Parks","North Bay, ON","$1,585–$1,949 WEEKLY",,2026-03-30,https://ca.indeed.com/rc/clk?jk=6a7d6edeaab3812d&bb=5K4QsIuoJuBk7io-s0f4VwhQnVSpj_1RN6cN_pAChbcbxrghkeQLWlS6yYxqnxJhPtbFhPacSSEVPKR8kinTmgDKlx9Qg7RjBluBvOHA9RZ5eugRkuRzyshA4e_SewLuioMh7vUIcLfqLPW5OVJX3HUAXEpxRH1e2NuYZ8LuIAmsdI9sMLwX02FEZpVE2_-w-o5UelY2KdHn_V6TDP2-7C8QTWcqEtnY&xkcb=SoBR67M3kFNPFC2Er50ObzkdCdPP&fccid=892b6b3217dbfc61&vjs=3,Permanent,False,4.6,unknown,False,0.0,[],Not IT: no IT title keywords; no technical skills
accabb04b28bfaea,Fire Life Safety BAS Specialist,BGIS,"North Bay, ON",,,2026-02-04,https://ca.indeed.com/rc/clk?jk=accabb04b28bfaea&bb=5K4QsIuoJuBk7io-s0f4V9xT5IPT609cPmYknPrkAyUottN2hL7o8GJAC3W2gCFw7b99Fsx1SFQ2bMuWsoKsHZMHFyh1sl1igKWOjN_SAqbTpamrMBI_Vkxd_AGcUq4OXSSTsgHPjH5cRLNmB0lwt_6PFkY273rRmCLfftvx4Y4iHrVGf-NerJRGFGIfPmxu_obwEq1RCrjCt-8vu4_-9uBkiiioo9d6&xkcb=SoDM67M3kFNPFC2Er50NbzkdCdPP&fccid=84c23fbcabc14d59&vjs=3,,False,2.9,unknown,False,0.0,[],Not IT: no IT title keywords; no technical skills
780c7728988f4d88,Pharmacy Assistant,Robinson's Pharmasave,"North Bay, ON P1B 7S8",$18–$21 HOURLY,,2026-03-24,https://ca.indeed.com/rc/clk?jk=780c7728988f4d88&bb=5K4QsIuoJuBk7io-s0f4V8Ba262XyHGv-785X0NCIgntR6f_A80PgLvfuwBIhsYisVk168e4UFC32-e52brC2Td0z4GX20ikQiu7ZypVe8NWMyDufpqncsV5JdiKI07LQznnm26BTlzitEtFSiW3CJcmic7L7dUux7cY6-ae6Lw2vg5lmxZlbEgXkAGHLRvl_PmNN5viZ018KJKDS_Mh2LwxhWmSHWwqolMV-oSDczc%3D&xkcb=SoB467M3kFNPFC2Er50MbzkdCdPP&fccid=78f7c48ca201bef7&cmp=Robinson%2527s-Pharmasave&ti=Pharmacy+Assistant&vjs=3,"Full-time, Part-time, Permanent",False,,unknown,False,0.0,[],Not IT: no IT title keywords; no technical skills
c78228cc5b8d4965,Assistant General Manager- Comfort Inn Lakeshore,Comfort Inn Lakeshore North Bay,"North Bay, ON","$40,000–$46,000 YEARLY",,2026-03-19,https://ca.indeed.com/rc/clk?jk=c78228cc5b8d4965&bb=5K4QsIuoJuBk7io-s0f4V2yiSue8HSq04JQ3E83c-LeXT2D7UfvuNQ8NOW2EItB2lYIANBx6cFffnCl6rwzHp2HB29DL1RF8PYrLX1-5WsKeZMls3qiHmhPWt9-6QNdBue8DTQrFBGY-UNxr1y4Wyow0Z1uXLoBjnBod_WV2ttaX7KQTK2bBpO5hnf_uKelP7OjMW2bKZD5FC_2lvQoSJpRfsZgMrDhs3gvAYHLOZs4%3D&xkcb=SoCR67M3kFNPFC2Er50DbzkdCdPP&fccid=d4ee9e651f954f8c&cmp=Comfort-Inn-Lakeshore-North-Bay&ti=Assistant+General+Manager&vjs=3,,False,,unknown,False,0.0,[],Not IT: no IT title keywords; no technical skills
2ef7a5186b633a03,Office Assistant / Estimator – Auto Body Shop,Local Auto Body Shop,"North Bay, ON",,,2026-04-09,https://ca.indeed.com/rc/clk?jk=2ef7a5186b633a03&bb=5K4QsIuoJuBk7io-s0f4VwVXuND6l7EE6fRrU2G-w9QJcwpZ6eC9GxzI3-vecc5TXsbyc35cqQjFgMyXGUx7ejwMYiw_916sEMVZX2JerMSoeV1_fUz6JetH6_g6H3Bj46dKxGIoqKK7doLCTh83hZdM-SpFBHC-9Nhoi8qNhgYfIqKO50PbYnRn6h8eddRbSTTCcODoGlqvEjYBdktHHrMxPDmVQlDcoUJJpJQ1E_E%3D&xkcb=SoAl67M3kFNPFC2Er50CbzkdCdPP&fccid=1638d45fd7dd8191&cmp=William-Perrins-Auto-Body&ti=Body+Shop+Estimator&vjs=3,,False,,unknown,False,0.0,[],Not IT: blacklisted title terms [estimator]; no IT title keywords; no technical skills
aa954504780b5e5c,Automotive Technician,Neddy's North Bay Hyundai,"North Bay, ON P1B 7S7",$36–$40 HOURLY,,2026-03-16,https://ca.indeed.com/rc/clk?jk=aa954504780b5e5c&bb=5K4QsIuoJuBk7io-s0f4VyQq7bCFBkrBC5ENGeTo10pU9Sw9LbdFGqUD2IbBqk0LcPhup3WvcQl9L3Q4hhT3_-MFydVKQYdgCOs-mSHwqgt_uYTDe1f2wx-BHclIoIShiS6MTVDNcqGSvXW9nfjOkYUjMR20GA-CknTlCvlzFwYU7zBtspxDlOoDArvJumrY-fxvWksaXLT0scIQs7pmOdDdM9e8YfCcVCi13YEiDlM%3D&xkcb=SoC467M3kFNPFC2Er50BbzkdCdPP&fccid=ec7b6f9db8e65d2e&cmp=Neddy%2527s-North-Bay-Hyundai&ti=Automotive+Technician&vjs=3,"Full-time, Permanent",False,,unknown,False,0.0,[],Not IT: no IT title keywords; no technical skills
dc38d015d0e86406,Licensed Elevator Mechanic,KLP Elevators and Lifts Inc.,"North Bay, ON",$47–$52 HOURLY,,2026-03-24,https://ca.indeed.com/rc/clk?jk=dc38d015d0e86406&bb=5K4QsIuoJuBk7io-s0f4Vxk8WyngRnPgtz7vo0TwRj3x0-scTK98r97HwPQ_y7zFbTf5V1jIS3-f0v9rco-z3Uimq-JlJPBFD2DVXyEt_nwIDsGzQCWp1cgmEQ6lTfBnXvDVHSK40vNia8Zf-alhmAPXsOCK7UsPFTW7PbZONqE0wRGRXfG6-m4eZkFzRzNGBtIn_CgIeqMroz6jm4kZ-1lqyAY9nc-kziovkyh-0kM%3D&xkcb=SoAM67M3kFNPFC2Er50AbzkdCdPP&fccid=54bc9852c93df22d&cmp=KLP-Elevators-and-Lifts-Inc.&ti=Mechanic&vjs=3,"Full-time, Permanent",False,,unknown,False,0.0,[],Not IT: no IT title keywords; no technical skills
ebcbba19d1b06ac0,Hotel General Manager,NOA Hosptiality,"North Bay, ON","$70,000–$80,000 YEARLY",,2026-04-13,https://ca.indeed.com/rc/clk?jk=ebcbba19d1b06ac0&bb=5K4QsIuoJuBk7io-s0f4V6PDCwuVu-p0xuLghknhHPtzR8BuSNrkTQekNR2s2zep-Ett42ouFjzZETCGJ6EbIuJI9uYQrnOSy7yYCp6BgHbomiw8UmmketBrClh-Kn4_r1mB0fqvKxfFJnpHCEKlQ4zM9usY7emE2kzYUJeb0kj839CAHd6YPgDFil3LT1siz99i1hgYyiPS8NwMaBnKkh2C9gKxtVp-qtLMP2OYeoo%3D&xkcb=SoCC67M3kFNPFC2Er50HbzkdCdPP&fccid=544bb401ca30f12c&cmp=NOA-Hosptiality&ti=Hotel+General+Manager&vjs=3,,False,,unknown,False,0.0,[],Not IT: no IT title keywords; no technical skills
